,geoid,dperim,dpperim,darea,dparea
394,4822,688,44905,14657,698504
395,4825,1488,72472,28702,698478
396,4810,1328,105291,23706,698487
397,4815,1327,50491,23874,698488
398,4819,1373,2795,68620,698487
399,4809,645,53160,9937,698488
400,4829,969,49943,13890,698488
401,4904,664,24654,17751,690971
402,4901,589,4660,30356,690971
403,4902,757,13716,40454,690971
404,4903,755,13045,26845,690972
405,5000,532,6766,32580,625741
406,5108,273,31227,7512,727366
407,5111,578,79639,7466,727366
408,5102,783,37747,19324,708087
409,5105,1743,28703,48366,727365
410,5109,1527,31386,52693,727366
411,5107,811,33593,21016,727366
412,5106,1088,26103,35796,727366
413,5103,1152,53058,21005,746645
414,5101,956,44380,28909,727366
415,5110,890,55583,15531,727365
416,5104,1028,33094,28144,727366
417,5307,359,22785,11938,672457
418,5309,617,41458,11122,672460
419,5301,747,35354,17182,672444
420,5308,792,50440,20469,672463
421,5304,572,5302,30671,672456
422,5302,558,38783,13459,672454
423,5306,405,14231,22030,672448
424,5310,593,41127,12547,672455
425,5305,524,3411,34293,672455
426,5303,439,5569,21863,672448
427,5401,1227,12972,44374,615991
428,5403,1207,12800,48564,616141
429,5402,1413,21557,42280,620862
430,5506,928,22072,31740,710873
431,5501,595,25354,18758,710874
432,5507,1185,12335,65393,710873
433,5504,563,43126,9616,710873
434,5508,613,10938,32829,710873
435,5502,660,9291,27505,710874
436,5505,1044,46407,19564,710873
437,5503,1276,15102,47691,710873
438,5600,891,2703,86204,563626
