,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
53,0633,0.07339197234917945,2.7313723227366093,0.12362224167204763,105,428828,95.945307372189,391514.6777026423,167,689757,157.94530737218898,652443.6777026424,120,484738,100.56348836980958,408573.1641566443,182,745667,162.56348836980956,669502.1641566445
54,0650,0.7016324958309976,6.210298536460727,0.2286096735862069,45,258138,41.53764875625517,239441.62455167997,130,679140,126.53764875625515,660443.6245516798,57,319581,45.31068286865366,260023.1112144957,142,740583,130.31068286865366,681025.1112144957
55,0627,0.1781992915470005,3.0762443503168706,0.23663238388408528,55,225190,52.44671647819503,215607.17676591253,162,700615,159.44671647819504,691032.1767659127,67,273644,55.90921954049592,230462.1169089113,174,749069,162.90921954049594,705887.1169089114
56,0620,1.2775645887837226,7.03881567078984,0.3240362109147639,45,194032,39.20548205630426,167143.61805828015,150,705769,144.20548205630425,678880.6180582802,48,207138,40.407880878857114,172214.16003354808,153,718875,145.4078808788571,683951.1600335481
57,0619,0.2423299055789999,3.708296591474523,0.22144605772423223,33,149593,30.82206899541543,140096.51322627158,148,698400,145.8220689954154,688903.5132262715,38,176781,32.82887480073543,150724.29518131274,153,725588,147.8288748007354,699531.2951813126
58,0649,0.13984221281675027,3.3298028483107283,0.1584933739344222,49,327306,41.31056000139737,276307.04700624704,124,736845,116.31056000139736,685846.0470062472,58,377053,43.72493182569776,289455.2509715501,133,786592,118.72493182569777,698994.2509715505
59,0606,0.04805493441950006,1.7162484135995693,0.2050159053147448,47,239307,44.9007406151515,230266.95452764712,151,687216,148.90074061515153,678175.9545276471,57,284205,47.57998448422303,241365.47163423503,161,732114,151.57998448422302,689274.471634235
60,0637,0.014007215823000095,0.7295961971835373,0.33067134430169814,61,238083,58.54479940760326,229779.56041543445,179,707267,176.54479940760322,698963.5604154343,64,251557,59.505074665863425,233943.0805164365,182,720741,177.50507466586342,703127.0805164364
61,0648,0.037559045771943335,1.5848828843747051,0.18790142051146794,53,276436,46.63504787696111,242315.3906271263,150,707244,143.6350478769611,673123.3906271264,64,322938,50.090332295481616,257102.8386763389,161,753746,147.09033229548163,687910.838676339
62,0629,0.02349554125099987,1.1661802155555359,0.21710207758568173,40,147466,37.82889396786668,138678.37581947062,175,697695,172.82889396786666,688907.3758194707,49,178143,40.62373711762736,149483.05588904305,184,728372,175.6237371176274,699712.0558890435
63,0610,0.4864836807144993,4.285148616402225,0.33292496524253384,25,140221,24.306092255959392,135434.92302173472,126,688264,125.30609225595943,683477.9230217349,28,156883,25.041133105309893,139451.03750994446,129,704926,126.04113310530994,687494.0375099446
64,0630,0.034933516559999614,1.4840796107260448,0.19931398523166785,58,220018,54.412438382042744,205961.56735170327,175,705503,171.41243838204286,691446.5673517032,67,260440,56.48436509882657,215263.70621497039,184,745925,173.4843650988267,700748.7062149704
65,0603,1.7133635190635057,11.750434637328722,0.15593784121436183,37,170393,34.718458794177145,161091.08683592154,157,720549,154.71845879417714,711247.0868359215,46,212556,37.8218382093707,174982.47928590805,166,762712,157.8218382093707,725138.4792859079
66,0641,0.08034340351049979,2.3399071722381843,0.18440081330121189,30,183531,27.224624025563944,163552.69560556824,140,696335,137.22462402556394,676356.6956055682,43,251489,30.51370169158337,180585.69129486263,153,764293,140.51370169158332,693389.6912948628
67,0607,0.14816364647799998,1.9967170370954013,0.46700171429068693,52,246535,49.6055714312619,235777.743711551,156,698853,153.60557143126184,688095.7437115511,58,281511,50.92119790724367,243986.98915045892,162,733829,154.92119790724362,696304.9891504587
68,0623,2.5602401893665,12.801492587375396,0.1963221748485999,59,326281,57.79982690648689,318917.4123143229,130,695904,128.7998269064869,688540.4123143228,69,373975,60.83357890390559,332616.6552395232,140,743598,131.83357890390562,702239.6552395232
69,0625,0.4333255106970013,4.94884974466435,0.22233896790467272,44,182558,42.36666727193743,174037.59562078986,157,689199,155.36666727193742,680678.59562079,52,215704,44.37181766319501,182690.55335920968,165,722345,157.371817663195,689331.5533592099
70,0614,0.07108090988753972,2.0245956806318257,0.2179145508982442,47,228039,39.453810511276686,192761.40141592122,153,714229,145.45381051127669,678951.4014159212,51,250537,40.4656028134984,198678.885596328,157,736727,146.46560281349844,684868.885596328
71,0635,0.042736559005499504,1.5677220430792542,0.21850998428221544,45,262586,43.56035284295417,247707.80739470525,128,708001,126.56035284295412,693122.8073947054,51,287115,45.16092260898807,254408.4063783343,134,732530,128.16092260898805,699823.4063783344
72,0622,0.3045088919420001,4.65153666829277,0.1768548381883624,48,240400,45.44083911645998,228027.2551330219,144,711176,141.44083911646,698803.2551330219,52,263932,46.69674661896885,235773.2998591205,148,734708,142.69674661896886,706549.2998591205
73,0646,0.018314500553000303,0.8961654370596804,0.2865685744715196,32,188877,31.109020577543806,183406.41563121675,112,672965,111.10902057754384,667494.4156312166,49,284334,36.16309071588859,211546.20301127151,129,768422,116.1630907158886,695634.2030112714
74,0803,13.395608563456811,21.986032722022586,0.34823993448662943,40,132227,39.24329076188052,129215.67859763824,192,719669,191.24329076188044,716657.6785976383,41,133625,39.37599582493629,129401.2002757902,193,721067,191.37599582493627,716843.2002757902
75,0806,0.13146491490299894,3.800035407363912,0.11440485162249418,65,292045,60.812873773815134,270433.57217292936,170,717934,165.81287377381508,696322.5721729295,69,317017,62.181349077697526,279581.22480344353,174,742906,167.18134907769752,705470.2248034436
76,0804,10.317904169569363,18.724478160841013,0.3698127735612815,60,216516,58.597633759353435,206757.56189416422,198,725406,196.5976337593535,715647.5618941641,67,249215,60.90634356662057,217303.0505929972,205,758105,198.90634356662065,726193.0505929972
77,0802,2.0875983919501744,10.573814843727947,0.23463533481872295,52,232661,49.778627059828786,222638.2962235268,182,730626,179.77862705982884,720603.2962235267,57,256300,51.3402115362147,230552.1931201029,187,754265,181.34021153621484,728517.193120103
78,0805,1.9584805467745048,8.060772554360538,0.3787701901104049,21,96271,20.954815093889817,96098.17929295664,159,720865,158.9548150938898,720692.1792929566,22,101858,21.16023410319252,97245.85529793086,160,726452,159.16023410319255,721839.8552979308
79,0807,0.0958366022835004,2.8819195152055084,0.14500319661492211,45,170796,43.475891797034556,163398.72220194308,172,706490,170.47589179703456,699092.7222019432,51,202687,45.308183947040966,173474.2131963865,178,738381,172.30818394704102,709168.2131963866
80,0801,0.05235752055900044,2.589002315654129,0.09815762871708751,62,277732,61.1983213791284,274771.3220602944,176,708206,175.1983213791285,705245.3220602943,67,301435,63.08950317977838,283639.6353492153,181,731909,177.08950317977852,714113.6353492155
81,0903,0.1357902319407646,2.8717953065988118,0.2069052122636718,62,299837,56.28442425858253,275833.9226152661,155,718533,149.28442425858253,694529.9226152658,65,311420,57.104587568896505,279327.96943590307,158,730116,150.1045875688965,698023.9694359029
82,0902,0.5741403888575803,4.360133486042601,0.3795145163520343,50,236866,47.02317192385329,225088.19513142112,156,716677,153.02317192385337,704899.1951314212,50,236866,47.02317192385329,225088.19513142112,156,716677,153.02317192385337,704899.1951314212
83,0904,0.13308251370214522,2.7090274404818,0.2278788667844199,46,209297,43.29235749920412,197997.81829401953,162,699179,159.29235749920412,687879.8182940193,52,227295,45.56389160520918,204590.14387327107,168,717177,161.5638916052092,694472.1438732708
84,0901,0.19510701719259005,3.7513905575862103,0.17422007308737822,61,283444,60.23136021750954,280249.7938509591,178,718584,177.23136021750946,715389.7938509589,63,292662,60.69146285855246,282281.03324922326,180,727802,177.69146285855243,717421.0332492231
85,0905,0.3590620439034069,4.393922059802028,0.2337085842747021,72,306075,71.12239764683599,302198.30416628666,173,707908,172.12239764683602,704031.3041662867,77,327464,72.74106067493786,309329.95116238616,178,729297,173.7410606749379,711162.9511623862
