,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
54,0634,0.01370502462949958,0.4789450141797286,0.7507898127170473,39,128113,31.34856987113719,101777.46978600496,236,826726,228.3485698711372,800390.4697860052,56,191720,36.02611679025632,119419.86101446244,253,890333,233.0261167902563,818032.8610144627
55,0620,1.2818618403344153,6.102432761933151,0.4325587258993316,40,166873,34.02042360693654,141008.58547353942,147,685773,141.02042360693653,659908.5854735394,46,196067,35.679659276411684,149068.41803906983,153,714967,142.67965927641168,667968.41803907
56,0613,0.025517602489145787,0.8104721915606704,0.4881727074383791,28,121163,23.40137477983671,100045.34179363347,182,667027,177.40137477983674,645909.3417936333,36,146750,25.78975458550109,107646.75578947236,190,692614,179.7897545855011,653510.7557894723
57,0643,0.01644195222499973,0.6076819522214156,0.5595134996886224,33,138367,28.462800078996736,119859.68176692062,142,635907,137.46280007899676,617399.6817669205,58,246526,35.132717220216755,147685.9097382896,167,744066,144.13271722021682,645225.9097382894
58,0602,3.5828714923592004,13.983619067385176,0.23025121265781767,59,227133,54.11277804333931,208167.43794001985,154,673453,149.11277804333938,654487.4379400198,68,279866,57.13065749372488,225522.7776283368,163,726186,152.1306574937249,671842.7776283366
59,0636,1.5089922785180063,6.833457789871608,0.40608397283018344,20,93419,18.773470087964622,88098.89115831461,168,686187,166.77347008796463,680866.8911583145,25,118480,19.84519173507228,94343.29410189,173,711248,167.84519173507232,687111.2941018897
60,0604,3.496738916986248,10.64963555563304,0.38743921780867596,49,208148,47.96433398796216,203029.8598748398,169,707397,167.9643339879622,702278.8598748399,52,221500,48.778990847037115,207143.89442202207,172,720749,168.77899084703716,706392.8944220222
61,0611,0.13830711452560934,2.1922946984556413,0.3616233937273275,37,177449,32.39276146087279,152055.17341765313,151,738030,146.39276146087283,712636.1734176531,46,236709,35.3581479058367,173361.2995013915,160,797290,149.35814790583672,733942.2995013916
62,0639,0.05087962334699992,1.1865850615309308,0.4541047018583394,39,199874,32.23065366019104,167887.70504916325,144,699610,137.23065366019105,667623.7050491633,55,287181,36.18943683573244,188574.74487577702,160,786917,141.18943683573244,688310.744875777
63,0633,0.07589231758287293,2.285238975678649,0.18261835836379822,86,366867,69.88165587384078,300191.80692443746,188,771772,171.88165587384074,705096.8069244373,120,500323,80.05213010196799,339887.15633414185,222,905228,182.05213010196798,744792.1563341413
64,0619,0.23541180043850046,2.7216718459295723,0.3993618461053633,27,124023,22.46066911031641,102146.8919649955,130,619077,125.46066911031642,597200.8919649953,38,186118,25.221847115143746,116757.44391883587,141,681172,128.2218471151437,611811.4439188356
65,0605,0.4773393735478306,4.426651598547272,0.30611628832274884,32,157244,27.06423763288885,133109.02656165257,156,672175,151.06423763288885,648040.0265616525,41,205997,29.567256988913122,147177.7417972677,165,720928,153.5672569889131,662108.7417972677
66,0644,0.022134863152147004,0.7624737868389941,0.47845034281183796,38,155140,30.85251298047641,125065.40092376164,160,725000,152.8525129804764,694925.4009237618,57,230849,36.36195581033051,146743.4679816135,179,800709,158.3619558103305,716603.4679816136
67,0652,0.07135610559395836,1.941238943849397,0.23794852279526396,42,177352,32.57490343107334,142338.83854939527,167,732463,157.57490343107338,697449.8385493951,59,282536,37.241392408390865,171881.09736332807,184,837647,162.24139240839088,726992.097363328
68,0603,1.700826611209994,9.429397509451569,0.24038204051177872,40,192489,35.57470077280867,170940.4406422871,161,752681,156.57470077280863,731132.4406422869,62,302574,41.910955564277025,202492.18198230414,183,862766,162.91095556427703,762684.1819823041
69,0618,0.18887163762767312,2.154477838373189,0.5113197261201217,38,175725,31.59047046036591,144063.01102487594,171,793293,164.5904704603659,761631.0110248759,56,269614,37.3825073763488,173826.97680954446,189,887182,170.38250737634883,791394.9768095445
70,0637,0.013713326869999928,0.5227604621973707,0.6305902120971308,32,130899,24.70996077143105,102803.175942645,171,686133,163.709960771431,658037.1759426451,57,240828,31.831911144561552,135060.08953463356,196,796062,170.83191114456156,690294.0895346336
71,0623,2.5600765948354907,11.341701175306493,0.2500958135997017,47,238748,42.093033546625364,216422.68537594774,132,699172,127.09303354662535,676846.6853759475,59,307442,44.529830421918376,230538.1216671348,144,767866,129.52983042191835,690962.1216671346
72,0640,0.014619665052500378,0.611919834082286,0.49063466172248804,40,197350,32.14585915997123,158537.2121861208,151,668190,143.14585915997122,629377.2121861208,68,310246,40.424991991720226,192562.33429886485,179,781086,151.42499199172022,663402.3342988649
73,0641,0.08366698285050117,1.510312053289787,0.4609253512209803,19,108414,15.824288706766252,88678.71474182342,141,689543,137.8242887067662,669807.7147418235,34,196007,19.598717049485675,110131.07870969636,156,777136,141.59871704948563,691260.0787096965
74,0806,0.12172167028200122,2.8408099526215516,0.1895367395601981,41,185085,34.49666048296648,157524.312159714,150,616303,143.4966604829665,588742.3121597139,56,263198,39.41085417749591,182379.89262485,165,694416,148.4108541774959,613597.8926248499
75,0805,1.9546739165250009,7.461669449866125,0.44117629559276716,21,96271,20.73572991338052,95289.6706491758,159,720865,158.73572991338054,719883.6706491758,22,101858,20.940345578881143,96432.8583723278,160,726452,158.94034557888114,721026.858372328
76,0803,13.40380398702047,20.73635289540664,0.3917176874360937,39,126652,37.94361042456222,122738.4256408372,192,719669,190.94361042456214,715755.4256408372,40,128050,38.05862873345089,122899.22123666355,193,721067,191.05862873345086,715916.2212366634
77,0804,10.322613864198926,17.95300829208465,0.4024621872870956,54,200480,51.42215887701325,187834.6469095566,205,758719,202.4221588770133,746073.6469095566,62,234708,53.555740060328425,196717.73532082973,213,792947,204.55574006032842,754956.7353208297
78,0801,0.053961343404498714,1.708133754263656,0.23240681960052315,40,190196,32.72327080567904,154818.5582022899,186,761819,178.72327080567902,726441.55820229,60,271613,38.100774177822,176480.85052775565,206,843236,184.100774177822,748103.8505277558
79,0807,0.09391552397799957,1.877791247663085,0.3346976236797362,35,142123,29.818825685325862,119141.388178422,176,721623,170.81882568532586,698641.388178422,54,238713,35.037994214361824,146012.93322309185,195,818213,176.0379942143618,725512.933223092
80,0802,2.0893761255753716,8.977347301603162,0.3257845153431325,43,211071,40.5425797682621,199920.6243057345,181,730198,178.5425797682621,719047.6243057344,57,270824,44.99731963314605,219372.25692852444,195,789951,182.99731963314602,738499.2569285242
81,0905,0.3529125432699901,3.972717947232789,0.28099687733542444,67,283284,60.330941499549866,254701.893066342,167,686196,160.33094149954985,657613.893066342,83,358493,64.50481061699112,274693.37709886767,183,761405,164.5048106169911,677605.3770988678
82,0901,0.19743468714757836,3.189675827694504,0.24385980687701095,53,232845,48.35420727403453,213936.2437785265,185,738184,180.35420727403456,719275.2437785262,73,313968,54.025258531988584,237822.7579209237,205,819307,186.02525853198867,743161.7579209239
83,0902,0.5734778197628531,3.88412827983252,0.47768253173022346,46,215557,41.13937040784328,194279.43195203788,156,716677,151.1393704078433,695399.431952038,52,236095,42.43260302155337,199184.88227106354,162,737215,152.43260302155338,700304.8822710636
84,0904,0.13335911280741508,2.307370807216809,0.3147732182662501,44,200736,39.020840950998696,180010.88456166425,164,708337,159.02084095099863,687611.8845616643,51,224732,40.802085149838376,185500.75974394454,171,732333,160.80208514983832,693101.7597439446
85,0903,0.1387194304767501,2.359142770594353,0.3132122306391921,47,234998,39.88573645701659,202404.58566739253,152,711487,144.8857364570166,678893.5856673926,62,300968,43.784850767738256,219405.8372878233,167,777457,148.78485076773828,695894.8372878234
86,1000,0.5453447554436612,4.27415337521025,0.37512913873756415,45,193682,42.74055628202074,186580.1027091628,214,897224,211.7405562820208,890122.1027091626,47,194392,43.32417765964046,186864.0477796341,216,897934,212.3241776596405,890406.047779634
87,1198,0.017990035492500958,0.6173963105996476,0.5930807448827148,35,125624,33.97560732312624,122553.41843667087,179,601723,177.97560732312618,598652.4184366708,35,125624,33.97560732312624,122553.41843667087,179,601723,177.97560732312618,598652.4184366708
88,1226,0.5432321947799279,7.708548084177928,0.11488152528056238,27,134027,21.269221900193493,110403.96721733779,117,626539,111.26922190019349,602915.9672173378,52,217969,28.03880137714309,132952.6741996461,142,710481,118.03880137714307,625464.6741996461
89,1209,0.4566678886940004,3.3941158986345736,0.49814640733178284,30,191371,24.0633354881132,149221.80333340398,117,712316,111.06333548811321,670166.803333404,45,274969,28.54278469991319,176360.53110526837,132,795914,115.5427846999132,697305.5311052682
90,1217,1.651649555321581,7.326340050502845,0.38668170407499497,63,227731,57.12542784010744,208555.1880022505,185,677798,179.12542784010742,658622.1880022504,85,315203,63.005626595844866,231996.8818549529,207,765270,185.00562659584492,682063.8818549528
91,1212,0.2162772396513105,2.3891042568513963,0.47615733390199094,42,144621,38.06717288440043,131390.07175527926,175,644253,171.0671728844004,631022.0717552792,51,185916,40.64409917773446,143144.12937355327,184,685548,173.64409917773446,642776.1293735534
92,1213,0.055384228791166515,1.8549759816174445,0.20226437427154623,39,129390,30.706355458729448,103904.65109826102,178,658642,169.70635545872943,633156.6510982609,57,198686,35.827809058032926,122242.53706484775,196,727938,174.82780905803287,651494.5370648478
93,1215,0.2093683818509966,2.2842204833305826,0.5042488508964756,37,155871,30.551019011215267,130066.85345766955,187,766500,180.55101901121517,740695.8534576695,51,206514,34.06232664315564,141623.98972462313,201,817143,184.0623266431556,752252.9897246229
