,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
35,0604,3.4978972642523525,11.263997446889636,50,211860,49.00965308538505,207007.637048378,169,707397,168.00965308538514,702544.637048378,51,215414,49.2299149235562,207790.44762123827,170,710951,168.22991492355632,703327.4476212383
36,0603,1.7133812620414957,10.709232951742466,36,170146,33.10491928647636,155988.0845739203,157,726507,154.1049192864763,712349.0845739206,47,213214,36.46077442023348,167952.50452233758,168,769575,157.46077442023343,724313.5045223378
37,0611,0.1339662905691658,2.389283333993127,40,193855,34.698646051166435,167948.11401772118,148,721541,142.6986460511664,695634.1140177211,49,247402,37.67757587874637,186656.246744466,157,775088,145.67757587874638,714342.2467444659
38,0630,0.03531756561449948,1.2946542419083202,44,161798,39.56405114442821,147376.88985541437,176,709251,171.5640511444282,694829.8898554144,63,238584,44.142394794670636,165589.08445112602,195,786037,176.14239479467065,713042.0844511259
39,0652,0.07178660674642777,2.403883815835294,46,193389,39.655299879648815,169386.62624814492,155,685741,148.65529987964882,661738.6262481449,64,301833,44.636834669568024,201754.932677174,173,794185,153.636834669568,694106.932677174
40,0632,0.032366450944999604,1.2950587859730778,41,184729,36.79967348079003,168103.04646203257,155,712919,150.79967348078998,696293.0464620322,56,252658,40.82619546438411,186808.75014514552,170,780848,154.82619546438406,714998.7501451453
41,0642,0.24025871649050085,4.519492163004415,46,266395,39.650896985998244,231966.2724101329,134,745466,127.65089698599823,711037.2724101328,60,361368,43.44193680003429,258053.17235904004,148,840439,131.44193680003428,737124.1723590399
42,0638,0.025581064431999926,0.9951869382133349,39,191919,35.62066389452836,174447.74996166365,147,674662,143.6206638945284,657190.7499616636,59,291862,40.89902640463734,198807.85163797296,167,774605,148.89902640463737,681550.851637973
43,0650,0.7005459458124982,5.207142244869918,39,218560,35.12095898191297,197754.1214718116,129,672038,125.12095898191296,651232.1214718118,55,302709,39.5147283672237,222184.19641970302,145,756187,129.5147283672237,675662.196419703
44,0614,0.07218197455817284,1.756284582927236,42,201241,34.243120647805874,166201.2912570092,155,723887,147.2431206478059,688847.2912570093,53,259291,37.07043419677528,181699.32879567138,166,781937,150.07043419677538,704345.3287956712
45,0608,8.522585207096133,18.423062842905807,38,177255,35.26058651775888,163438.1898434058,131,703591,128.26058651775892,689774.1898434057,44,217673,36.64561018454072,172212.494872512,137,744009,129.64561018454074,698548.4948725121
46,0612,0.010273560611041493,0.5359781888947157,28,111543,22.700522424870318,89351.69871489644,166,664772,160.70052242487031,642580.6987148965,35,145473,24.99302122378394,100595.07683420824,173,698702,162.9930212237839,653824.0768342082
47,0643,0.01847347385749946,0.7478088938661709,41,178506,37.398084942578,161852.08897023374,156,708403,152.39808494257798,691749.0889702337,53,222349,40.66107704633114,172927.2009116209,168,752246,155.66107704633114,702824.200911621
48,0602,3.5794704922429097,14.961241528055632,60,232706,55.45597252847786,215281.32722333155,155,679079,150.45597252847784,661654.3272233316,66,266913,57.492741888614006,226980.07411005202,161,713286,152.492741888614,673353.0741100521
49,0634,0.012027122135999218,0.6193314366351638,39,125646,34.756123726451364,111807.15039924096,200,696961,195.7561237264513,683122.150399241,58,196346,39.63479182753965,129900.793359982,219,767661,200.6347918275397,701215.7933599821
50,0648,0.03761049280191826,1.3626655668344123,47,241524,39.5385756688686,202557.11751363546,150,707209,142.5385756688686,668242.1175136353,61,303449,44.21357549783728,223252.7146550339,164,769134,147.21357549783727,688937.7146550339
51,0606,0.047980123359499416,1.4677422275915637,44,220092,40.42445191426836,207155.68982841235,152,686869,148.4244519142684,673932.6898284124,54,269474,43.113156024686425,220044.844718532,162,736251,151.11315602468642,686821.844718532
52,0637,0.013831894185500498,0.5731250889296529,43,166512,35.75094452414013,140987.25702849898,175,694856,167.7509445241401,669331.2570284989,59,224152,39.63253582635343,154570.74467034868,191,752496,171.63253582635343,682914.7446703485
53,0624,1.7707124885438934,10.719766626074117,41,170712,37.775526345213095,160283.79510478975,146,701074,142.77552634521302,690645.7951047898,42,175507,37.97937024472236,161261.2266029367,147,705869,142.9793702447223,691623.2266029367
54,0644,0.022011536266149948,0.8784726276419431,38,164800,31.57707015988688,135342.65850057724,159,716506,152.5770701598869,687048.6585005772,57,242052,36.44109618890439,155015.20205018375,178,793758,157.44109618890437,706721.2020501838
55,0619,0.2422377849179996,3.2551653496775113,31,141328,28.179891753987214,130012.7847071674,147,693125,144.1798917539872,681809.7847071674,39,186737,30.9380812938836,145093.4946326068,155,738534,146.93808129388358,696890.4946326069
56,0621,1.7491481319050024,10.010915223606489,52,304148,50.57854031594061,296552.76498087804,118,692556,116.57854031594059,684960.764980878,58,332765,52.49492211516826,305747.25669067696,124,721173,118.49492211516822,694155.2566906768
