,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
99,1207,475,34606,13177,696345,0.05840221606648199,0.000581462424294819,298.0,170.0,0.05840221606648199,0.000581462424294819,298.0,170.0
100,1222,803,57230,11426,696345,0.017719975992890918,0.00021260671133693928,67.0,59.0,0.017719975992890918,0.00021260671133693928,67.0,59.0
101,1226,464,25006,14308,696345,0.06645734244946493,0.0011136173995038758,315.0,249.0,0.06645734244946493,0.0011136173995038758,315.0,249.0
102,1215,496,38611,12914,696345,0.05249252081165453,0.00046709192798238483,276.0,144.0,0.05249252081165453,0.00046709192798238483,276.0,144.0
103,1206,423,14608,21962,696345,0.12274142257543495,0.0032631943561360847,399.0,341.0,0.12274142257543495,0.0032631943561360847,399.0,341.0
104,1209,471,41609,13284,696345,0.059880725384396934,0.0004022072592833884,301.0,125.0,0.059880725384396934,0.0004022072592833884,301.0,125.0
105,1203,723,28660,32979,696345,0.06309005239808772,0.0008477583761101229,308.0,209.0,0.06309005239808772,0.0008477583761101229,308.0,209.0
106,1217,907,32945,33675,696344,0.04093483368970241,0.0006415711317314156,232.0,175.0,0.04093483368970241,0.0006415711317314156,232.0,175.0
107,1221,311,40337,6793,696345,0.07023293803827504,0.00042797388714757004,323.0,134.0,0.07023293803827504,0.00042797388714757004,323.0,134.0
108,1219,317,16669,20880,696345,0.2077839365502692,0.0025061402316147994,424.0,318.0,0.2077839365502692,0.0025061402316147994,424.0,318.0
109,1216,192,5591,19653,696345,0.5331217447916666,0.022276424080259555,438.0,412.0,0.5331217447916666,0.022276424080259555,438.0,412.0
110,1218,292,31072,18537,696344,0.21740711202852317,0.0007212493278294008,425.0,189.0,0.21740711202852317,0.0007212493278294008,425.0,189.0
111,1227,501,28658,12390,696345,0.04936235313803531,0.000847876707878986,268.0,210.0,0.04936235313803531,0.000847876707878986,268.0,210.0
112,1205,1773,104848,18189,696345,0.005786172165104887,6.334380687711596e-05,6.0,9.0,0.005786172165104887,6.334380687711596e-05,6.0,9.0
113,1208,189,5422,19073,696344,0.5339436185997033,0.023686713732772518,439.0,413.0,0.5339436185997033,0.023686713732772518,439.0,413.0
114,1214,494,47720,15493,696345,0.063486534773558,0.0003057902201231127,310.0,92.0,0.063486534773558,0.0003057902201231127,310.0,92.0
115,1223,345,28853,8906,696345,0.07482461667716866,0.0008364548623102708,332.0,204.0,0.07482461667716866,0.0008364548623102708,332.0,204.0
116,1304,471,59677,8234,691976,0.03711667365365284,0.00019430190851394083,208.0,53.0,0.03711667365365284,0.00019430190851394083,208.0,53.0
117,1305,379,49077,10910,691976,0.07595324454716967,0.0002872995975998324,336.0,88.0,0.07595324454716967,0.0002872995975998324,336.0,88.0
118,1306,418,73120,7241,691975,0.04144250360568668,0.0001294249598394055,234.0,30.0,0.04144250360568668,0.0001294249598394055,234.0,30.0
